reference,title,supplier,value,published,start_date,end_date,department,category,status
CON-2025-001,IT Support Services Contract,TechCorp Solutions Ltd,2450000,2025-01-15,2025-02-01,2027-01-31,Digital Services,Information Technology,Active
CON-2025-002,Office Cleaning Services,CleanPro UK,180000,2025-01-20,2025-03-01,2026-02-28,Facilities,Facilities Management,Active
CON-2025-003,Legal Advisory Services,Legal Partners LLP,750000,2025-02-01,2025-02-15,2028-02-14,Legal,Professional Services,Active
CON-2025-004,Cloud Hosting Infrastructure,CloudHost Services,1200000,2025-02-05,2025-03-01,2027-02-28,Digital Services,Information Technology,Active
CON-2025-005,Staff Training Programme,LearnWell Training,95000,2025-02-10,2025-04-01,2025-09-30,Human Resources,Education and Training,Active
CON-2024-089,Document Management System,DocuSafe Ltd,380000,2024-11-01,2024-12-01,2026-11-30,Digital Services,Information Technology,Active
CON-2024-088,Security Services,SecureGuard UK,520000,2024-10-15,2024-11-01,2026-10-31,Facilities,Security,Active
CON-2024-087,Telecommunications Services,TeleCom Partners,890000,2024-09-20,2024-10-01,2027-09-30,Digital Services,Telecommunications,Active
CON-2024-086,Consultancy Services - Strategy,Strategy Advisors,450000,2024-09-01,2024-09-15,2025-09-14,Strategy,Professional Services,Active
CON-2024-085,Catering Services,FreshMeals Ltd,220000,2024-08-15,2024-09-01,2025-08-31,Facilities,Catering,Active
